Date,open,high,low,close,volume
2024-09-15,2579.81,2580.68,2577.73,2579.23,0
2024-09-16,2579.22,2589.69,2575.4,2583.74,0
2024-09-17,2583.75,2587.01,2560.81,2574.18,0
2024-09-18,2574.17,2600.21,2546.94,2559.36,0
2024-09-19,2559.37,2594.94,2551.14,2587.3,0
2024-09-20,2587.27,2625.82,2584.91,2622.23,0
2024-09-22,2621.26,2622.17,2618.78,2620.29,0
2024-09-23,2620.3,2634.89,2613.91,2626.4,0
2024-09-24,2626.43,2664.42,2622.7,2658.27,0
2024-09-25,2658.25,2670.59,2649.87,2656.38,0
2024-09-26,2656.39,2685.64,2654.89,2672.72,0
2024-09-27,2672.74,2674.34,2643.16,2658.18,0
2024-09-29,2658.92,2665.14,2658.22,2663.65,0
2024-09-30,2663.64,2666.1,2624.84,2635.73,0
2024-10-01,2635.75,2673.16,2634.0,2660.43,0
2024-10-02,2660.44,2663.41,2641.23,2660.38,0
2024-10-03,2660.42,2663.02,2638.35,2655.91,0
2024-10-04,2655.89,2670.24,2632.1,2653.63,0
2024-10-06,2650.63,2652.9,2649.67,2650.24,0
2024-10-07,2650.3,2659.69,2637.81,2643.06,0
2024-10-08,2643.05,2653.02,2604.83,2622.01,0
2024-10-09,2622.02,2624.41,2605.27,2608.47,0
2024-10-10,2608.48,2636.02,2602.9,2633.25,0
2024-10-11,2633.26,2661.48,2632.08,2656.97,0
2024-10-13,2655.57,2655.64,2645.34,2648.14,0
2024-10-14,2648.15,2666.86,2643.25,2649.49,0
2024-10-15,2649.47,2668.97,2638.16,2660.55,0
2024-10-16,2660.54,2685.4,2658.81,2674.2,0
2024-10-17,2674.21,2696.81,2673.28,2693.82,0
2024-10-18,2693.84,2722.63,2692.89,2721.86,0
2024-10-20,2720.92,2725.11,2719.67,2723.56,0
2024-10-21,2723.55,2740.63,2714.29,2721.53,0
2024-10-22,2721.54,2749.07,2720.72,2746.62,0
2024-10-23,2746.61,2758.54,2708.85,2721.37,0
2024-10-24,2721.34,2743.29,2717.91,2733.89,0
2024-10-25,2733.98,2748.03,2717.14,2747.38,0
2024-10-27,2734.92,2740.29,2730.34,2735.87,0
2024-10-28,2735.9,2746.0,2724.79,2744.54,0
2024-10-29,2744.51,2775.38,2743.35,2775.09,0
2024-10-30,2775.11,2790.05,2770.99,2785.48,0
2024-10-31,2785.49,2790.12,2731.65,2746.75,0
2024-11-01,2746.76,2762.3,2733.26,2736.75,0
2024-11-03,2738.71,2740.41,2730.32,2738.42,0
2024-11-04,2738.43,2748.25,2731.84,2736.09,0
2024-11-05,2736.15,2750.01,2724.81,2745.74,0
2024-11-06,2745.73,2749.73,2652.51,2664.12,0
2024-11-07,2664.11,2710.4,2643.51,2706.98,0
2024-11-08,2706.97,2710.44,2680.4,2684.77,0
2024-11-10,2682.59,2685.72,2681.52,2685.72,0
2024-11-11,2685.69,2686.23,2610.67,2624.08,0
2024-11-12,2624.08,2627.21,2589.8,2599.03,0
2024-11-13,2599.06,2618.91,2569.46,2570.97,0
2024-11-14,2571.0,2577.54,2536.89,2566.95,0
2024-11-15,2566.97,2576.13,2554.58,2563.19,0
2024-11-17,2564.86,2575.63,2564.85,2571.49,0
2024-11-18,2571.46,2615.03,2569.93,2612.73,0
2024-11-19,2612.77,2639.5,2611.13,2635.21,0
2024-11-20,2635.19,2655.49,2618.93,2652.26,0
2024-11-21,2652.25,2673.56,2650.48,2669.24,0
2024-11-22,2669.22,2715.78,2668.94,2715.67,0
2024-11-24,2707.71,2721.37,2705.1,2719.92,0
2024-11-25,2719.94,2720.2,2605.31,2610.49,0
2024-11-26,2610.57,2641.96,2608.66,2632.36,0
2024-11-27,2632.35,2658.26,2627.16,2637.13,0
2024-11-28,2637.15,2649.69,2620.99,2638.83,0
2024-11-29,2638.84,2666.38,2634.11,2650.5,0
2024-12-01,2652.5,2653.27,2643.18,2645.83,0
2024-12-02,2645.9,2651.78,2621.97,2642.3,0
2024-12-03,2642.32,2655.7,2634.18,2642.85,0
2024-12-04,2642.84,2657.19,2632.5,2650.43,0
2024-12-05,2650.45,2655.59,2623.6,2633.86,0
2024-12-06,2633.87,2645.74,2613.06,2633.13,0
2024-12-08,2644.28,2648.6,2636.47,2640.14,0
2024-12-09,2640.16,2676.48,2627.61,2660.6,0
2024-12-10,2660.64,2698.39,2658.02,2696.11,0
2024-12-11,2696.06,2721.27,2675.89,2720.09,0
2024-12-12,2720.09,2726.23,2675.19,2680.8,0
2024-12-13,2680.81,2692.9,2646.18,2648.44,0
2024-12-14,2648.5,2648.5,2648.5,2648.5,0
2024-12-15,2649.99,2653.16,2648.85,2651.52,0
2024-12-16,2651.53,2664.44,2643.62,2651.82,0
2024-12-17,2651.83,2658.72,2633.13,2647.54,0
2024-12-18,2647.57,2651.78,2583.45,2588.17,0
2024-12-19,2588.25,2626.47,2587.03,2593.63,0
2024-12-20,2593.65,2631.91,2589.74,2622.82,0
2024-12-21,2623.44,2623.44,2623.44,2623.44,0
2024-12-22,2623.95,2624.97,2621.69,2624.38,0
2024-12-23,2624.48,2633.33,2608.26,2615.65,0
2024-12-24,2615.65,2621.5,2610.14,2616.86,0
2024-12-25,2617.44,2620.06,2615.03,2618.6,0
2024-12-26,2618.6,2639.18,2618.6,2632.68,0
2024-12-27,2632.66,2638.33,2611.71,2621.74,0
2024-12-29,2619.93,2626.33,2619.82,2624.17,0
2024-12-30,2624.18,2628.14,2596.15,2606.76,0
2024-12-31,2606.74,2627.64,2602.73,2624.33,0
2025-01-01,2625.45,2625.75,2621.77,2623.86,0
2025-01-02,2623.87,2660.56,2622.84,2658.48,0
2025-01-03,2658.48,2665.38,2636.77,2640.51,0
2025-01-05,2641.05,2642.49,2639.04,2641.1,0
2025-01-06,2641.08,2649.51,2614.84,2634.69,0
2025-01-07,2634.77,2664.35,2633.04,2649.89,0
2025-01-08,2649.85,2670.11,2645.36,2662.7,0
2025-01-09,2662.71,2678.41,2655.63,2670.05,0
2025-01-10,2670.08,2698.0,2663.91,2689.71,0
2025-01-12,2689.88,2691.23,2687.02,2691.17,0
2025-01-13,2691.17,2693.49,2656.85,2668.06,0
2025-01-14,2668.13,2679.1,2660.0,2675.63,0
2025-01-15,2675.64,2697.96,2669.41,2694.99,0
2025-01-16,2695.03,2724.8,2690.03,2714.63,0
2025-01-17,2714.62,2717.45,2699.31,2702.8,0
2025-01-19,2703.61,2703.66,2691.47,2696.56,0
2025-01-20,2696.54,2713.8,2689.36,2710.47,0
2025-01-21,2710.48,2746.04,2702.93,2744.39,0
2025-01-22,2744.37,2763.45,2742.68,2755.59,0
2025-01-23,2755.51,2758.99,2736.01,2754.6,0
2025-01-24,2754.59,2786.06,2754.38,2771.33,0
2025-01-26,2768.4,2769.6,2764.93,2767.67,0
2025-01-27,2767.73,2772.72,2730.54,2741.86,0
2025-01-28,2741.84,2765.13,2734.87,2762.84,0
2025-01-29,2762.85,2766.28,2744.8,2760.37,0
2025-01-30,2760.39,2798.5,2758.9,2796.28,0
2025-01-31,2796.35,2817.2,2791.11,2799.37,0
2025-02-02,2801.12,2804.61,2785.34,2793.81,0
2025-02-03,2793.8,2830.7,2772.26,2813.9,0
2025-02-04,2813.88,2845.43,2807.28,2841.27,0
2025-02-05,2841.55,2882.41,2839.77,2869.28,0
2025-02-06,2869.29,2873.38,2834.24,2858.13,0
2025-02-07,2858.12,2886.84,2852.51,2861.03,0
2025-02-09,2860.58,2870.53,2856.64,2867.69,0
2025-02-10,2867.71,2921.72,2865.87,2917.86,0
2025-02-11,2917.87,2942.74,2881.81,2898.63,0
2025-02-12,2898.67,2909.22,2865.91,2906.14,0
2025-02-13,2905.39,2932.47,2901.53,2931.25,0
2025-02-14,2931.23,2940.03,2877.03,2882.82,0
2025-02-16,2886.85,2894.09,2878.79,2879.44,0
2025-02-17,2879.45,2906.53,2879.45,2899.34,0
2025-02-18,2899.35,2937.05,2892.11,2934.03,0
2025-02-19,2934.0,2947.08,2918.66,2935.52,0
2025-02-20,2935.63,2954.96,2924.23,2941.68,0
2025-02-21,2941.71,2949.8,2916.77,2936.51,0
2025-02-23,2935.48,2940.65,2934.28,2937.01,0
2025-02-24,2937.03,2956.34,2921.42,2950.08,0
2025-02-25,2950.14,2952.66,2888.32,2918.71,0
2025-02-26,2918.72,2930.21,2890.85,2919.3,0
2025-02-27,2919.29,2919.29,2867.76,2876.06,0
2025-02-28,2876.07,2885.1,2832.7,2858.28,0
2025-03-02,2856.7,2877.02,2855.62,2870.86,0
2025-03-03,2870.87,2895.33,2858.89,2891.03,0
2025-03-04,2890.97,2927.87,2882.03,2914.49,0
2025-03-05,2914.51,2929.98,2893.99,2918.32,0
2025-03-06,2918.31,2926.64,2891.26,2910.4,0
2025-03-07,2910.41,2930.47,2896.8,2911.24,0
2025-03-09,2911.21,2917.06,2909.81,2916.36,0
2025-03-10,2916.35,2918.34,2880.3,2884.77,0
2025-03-11,2884.78,2922.27,2880.4,2915.59,0
2025-03-12,2915.6,2940.65,2906.07,2938.18,0
2025-03-13,2938.19,2989.95,2933.05,2986.59,0
2025-03-14,2986.57,3004.94,2978.53,2986.14,0
2025-03-16,2985.08,2994.16,2983.23,2990.12,0
2025-03-17,2990.17,3002.86,2982.29,2999.93,0
2025-03-18,2999.87,3038.34,2999.52,3031.9,0
2025-03-19,3031.91,3052.02,3022.93,3050.18,0
2025-03-20,3050.22,3057.48,3025.72,3046.45,0
2025-03-21,3046.54,3047.5,2999.59,3023.53,0
2025-03-23,3021.57,3026.39,3019.82,3024.8,0
2025-03-24,3024.71,3033.31,3002.54,3009.95,0
2025-03-25,3010.04,3036.05,3007.66,3021.09,0
